id,title,likes,comments,shares,saves,views,reach,follows,nonfollower_pct,format
231,۷ راهکار برای بهتر ترید کردن,114,21,7,16,6666,2796,0,1.9,reel
232,۱۳ ابزار برای ترید,191,24,48,184,9990,4991,3,25.5,reel
233,۸ میم کوین ترون,345,128,68,206,22180,12047,6,52.1,reel
234,میخوای توی ترید ضرر نکنی,151,14,4,13,3782,2405,5,33.4,reel
235,معرفی ارزها 6/19,486,490,177,401,36871,15005,43,53.1,reel
236,۷ ویدیو یوتیوب,112,4,19,57,2855,1686,1,23.0,reel
237,معرفی کتاب,127,32,26,56,5247,3182,1,45.5,reel
238,تاریخ لیست شدن ایردراپ ها,9349,425,20415,10228,1160645,668950,945,98.4,reel
239,معرفی ۶۰ ایردراپ,530,748,109,329,24601,11023,11,7.9,reel
240,معرفی ۵۰ فیلم,82,16,44,22,3226,1723,1,14.5,reel
241,ترکیب فوتبال و کریپتو,205,116,50,15,20886,12725,13,56.1,reel
242,۴۰ قانون مهم ترید,109,10,11,26,9648,6879,0,78.8,reel
301,ترند ترین کوین ها در بهمن,376,326,27,78,22428,10841,10,22.3,reel
302,این ارزها بد نیستن,569,1000,38,83,30842,15858,24,26.1,reel
303,تست دقیق کدوم قسمت مغزت فعاله,372,474,24,29,61251,28053,6,47.2,reel
304,تست روانشناسی 11/12,323,835,22,34,50698,23809,31,54.7,reel
305,هر تریدر ماهری,137,9,33,87,8922,5316,0,28.1,reel
306,آپدیت فوری,1600,1300,132,147,41546,26991,200,32.5,reel
307,برگه تقلب,328,212,63,157,23018,10598,10,22.1,reel
308,این تست بهت میگه,165,176,3,17,13469,7241,2,27.4,reel
309,وضعیت آخرین تریدی که داشتی,239,176,2,9,13196,7084,7,24.6,reel
310,تست اعصاب,284,20,48,62,13689,8795,5,43.1,reel
311,تست ترس مخصوص تریدرها,278,364,13,23,19793,10674,20,27.7,reel
312,معرفی ۳ ارز مهم و فوری,330,37,120,228,25062,13366,8,32.1,reel
313,بزرگترین ترس توی ترید,189,240,5,14,15206,7309,4,26.6,reel
314,زمان لیست شدن ایردراپ ها,146,18,25,34,10424,5514,1,20.9,reel
316,اخرین ارزی که ازش سود کردی,249,71,2,14,18573,8679,0,20.0,reel
317,منطقی یا احساسی,316,547,17,30,27551,12347,7,23.4,reel
318,۸ میم کوین کمپین,595,636,237,429,49398,20436,23,27.0,reel
319,یه ارز ۸۶۶۶۰۰۰ درصد سود,825,1400,35,84,22745,15145,18,19.2,reel
320,سه ارز رو برای,566,542,114,342,35216,15986,19,27.8,reel
321,داره تو سال ۲۰۹۹ زندگی میکنه,434,554,79,148,25465,17376,44,36.7,reel
322,۳ ارز برای میلیاردر شدن,246,160,35,88,18050,8564,2,22.2,reel
323,۴ آلت کوین برای میلیاردر شدن,373,265,50,135,20281,10738,15,35.9,reel
324,۳ ارز ثانیه ای سود,249,138,52,124,18012,8557,6,21.5,reel
325,نهنگ ها از این ۵ میم کوین نمیگذرن,348,185,66,164,18495,9647,4,21.2,reel
326,۶ ارز کم ارزش با سود فوق العاده,305,127,61,154,23975,10781,11,24.1,reel
327,یه قابلیت وجود داره,432,523,139,393,23310,15276,37,30.2,reel
328,۴ میم کوین,513,685,152,355,34275,15993,6,18.5,reel
329,جیبت رو پر از پول کن,317,199,41,117,22236,10430,4,20.6,reel
330,این داداش تو ۲۰۹۹ زندگی میکنه,777,979,137,341,45682,33121,98,51.6,reel
331,۲۰ میم کوین و شت کوین,482,458,152,362,29905,13814,6,21.1,reel
333,۳ ارز با سود ۱۰۰۰ درصد,1200,2700,58,187,29566,19142,47,21.2,reel
337,۳ میم کوین که قطعا,401,244,67,126,34685,15152,1,20.6,reel
340,کدوم ارز دیجیتال میتونه,425,454,47,136,25521,12166,8,18.2,reel
343,ترامپ چهارمین کوین جهانی,388,230,53,96,31527,13556,0,17.6,reel
345,کمپین صرافی بزرگ,1700,1200,555,1100,176120,118224,318,82.5,reel
348,این هفته کدوم ارزها,293,194,27,55,15439,7692,1,18.3,reel
351,هنوز نمیدونی یه ارز رو,189,163,40,125,8998,5457,3,17.0,reel
352,جریان چیه,199,73,19,57,11409,7754,7,38.0,reel
353,برای آخرین سود ۱۴۰۳,155,39,19,42,7080,4203,1,15.6,reel
354,اسلایدی گرافیکی,535,36,387,613,26638,16608,22,18.2,carousel
355,فرصت های میلیاردی رو از دست میدی,248,286,8,61,10683,6895,3,20.2,reel
356,اتریوم ثابت کرد,453,340,22,40,41494,16909,2,16.5,reel
357,دلار ۱۰۰ هزارتومان,173,50,2,7,8040,5061,1,20.2,reel
358,لعنت به دلار ۱۰۰ هزار تومانی,325,155,4,11,9173,6379,0,14.2,reel
